,sentence
14497,"Head of Galerius, laureate, right; ties curved, parallel"
14498,"Head of Galerius, laureate, right; ties divergent"
14499,"Head of Galerius, laureate, right; ties divergent, with pointed truncation"
14500,"Head of Galerius, laureate, right; ties parallel, with pointed truncation"
14501,"Head of Galerius, laureate, right; ties parallel, with rounded truncation"
14502,"Head of Galerius, laureate, wearing consular robes, right, holding globe in right hand"
14503,"Head of Galerius, radiate, right"
14504,"Head of Galerius, veiled, right"
14505,"Head of Galienus, radiate"
14506,"Head of Gallienus, bare, right"
14507,"Head of Gallienus, crowned with reeds, left"
14508,"Head of Gallienus, crowned with reeds, right"
14509,"Head of Gallienus, helmeted, left"
14510,"Head of Gallienus, helmeted, right"
14511,"Head of Gallienus, laureate, left"
14512,"Head of Gallienus, laureate, right"
14513,"Head of Gallienus, laureate, right or left"
14514,"Head of Gallienus, laureate, right; below, Pegasus flying right"
14515,"Head of Gallienus, radiate"
14516,"Head of Gallienus, radiate, draped, right"
14517,"Head of Gallienus, radiate, left"
14518,"Head of Gallienus, radiate, left, holding spear in right hand and shield in left hand"
14519,"Head of Gallienus, radiate, right"
14520,"Head of Gallienus, radiate, right or left"
14521,"Head of Genius, laureate, right; on the front of the crown, turret (?)"
14522,"Head of Germanicus, bare, left"
14523,"Head of Germanicus, bare, right"
14524,"Head of Germanicus, bare, right, with beard"
14525,"Head of Geta, bare, bearded, right"
14526,"Head of Geta, bare, right"
14527,"Head of Geta, bare-headed, right"
14528,"Head of Geta, laureate, bearded, right"
14529,"Head of Geta, laureate, bearded, right (?)"
14530,"Head of Geta, laureate, right"
14531,"Head of Geta, radiate, bearded, right"
14532,"Head of Geta, radiate, right"
14533,"Head of Hadrian, laurate, traces of drapery on far shoulder, right"
14534,"Head of Hadrian, laureate, draped, cuirassed, right"
14535,"Head of Hadrian, laureate, left"
14536,"Head of Hadrian, laureate, right"
14537,"Head of Hadrian, laureate, traces of drapery on far shoulder, right"
14538,"Head of Hadrian, left"
14539,"Head of Hadrian, radiate, left"
14540,"Head of Hadrian, radiate, right"
14541,"Head of Hadrian, radiate, traces of drapery on far shoulder, right"
14542,"Head of Hadrian, right"
14543,"Head of Hadrian, traces of drapery on far shoulder, right"
14544,"Head of Hadrian, wearing corn wreath, right"
14545,"Head of Hercules, laureate, lion skin draped around neck, right"
14546,"Head of Hercules, laureate, right"
14547,"Head of Honos, right, in between two six-rayed stars"
14548,"Head of Janus, beardless"
14549,"Head of Julian, bareheaded, right"
14550,"Head of Julius Caesar, bare, right"
14551,"Head of Juno, veiled, right; sceptre behind"
14552,"Head of Jupiter Ammon, horned, bearded, right"
14553,"Head of Jupiter Ammon, right"
14554,"Head of Jupiter, diademed, bearded, right"
14555,"Head of Jupiter, laureate, bearded, right"
14556,"Head of Jupiter, laureate, right"
14557,"Head of Jupiter, laureate, right; sceptre behind"
14558,"Head of Liber, ivy-wreathed, right"
14559,"Head of Libertas, right"
14560,"Head of Libertas, right; hair knotted"
14561,"Head of Licinius II, laureate, right"
14562,"Head of Licinius II, radiate, right"
14563,"Head of Licinius, laureate, right"
14564,"Head of Licinius, laureate, right; ties divergent, with pointed truncation"
14565,"Head of Licinius, laureate, right; ties parallel, with pointed truncation"
14566,"Head of Licinius, laureate, right; ties parallel, with rounded truncation"
14567,"Head of Licinius, radiate, right"
14568,"Head of Licinius, right"
14569,"Head of Livineius Regulus, right"
14570,"Head of Lucius Aelius Caesar, left"
14571,"Head of Lucius Aelius Caesar, right"
14572,"Head of Lucius Aelius Caesar, traces of drapery on far shoulder, right"
14573,"Head of Lucius Servius Sulpicius Rufus, bearded, right"
14574,"Head of Lucius Verus, bare, (sometimes bust, draped), right"
14575,"Head of Lucius Verus, bare, drapery on left shoulder, right"
14576,"Head of Lucius Verus, bare, left"
14577,"Head of Lucius Verus, bare, right"
14578,"Head of Lucius Verus, bare, with aegis in front, right"
14579,"Head of Lucius Verus, bare, with aegis, right"
14580,"Head of Lucius Verus, laureate, right"
14581,"Head of Lucius Verus, radiate, right"
14582,Head of Marcus Aurelius (?)
14583,"Head of Marcus Aurelius, bare, drapery on left shoulder, right"
14584,"Head of Marcus Aurelius, bare, left"
14585,"Head of Marcus Aurelius, bare, right"
14586,"Head of Marcus Aurelius, bare, right; sometimes with drapery on left shoulder"
14587,"Head of Marcus Aurelius, bare, with aegis, right"
14588,"Head of Marcus Aurelius, laureate, left"
14589,"Head of Marcus Aurelius, laureate, right"
14590,"Head of Marcus Aurelius, laureate, right (?)"
14591,"Head of Marcus Aurelius, radiate, right"
14592,"Head of Marcus Avrelius, bare, left"
14593,"Head of Marcus Avrelius, bare, right"
14594,"Head of Marcus Claudius Marcellus, bare, right; triskelis behind"
14595,"Head of Mars, helmeted, left"
14596,"Head of Mars, in crested helmet, right"
14597,"Head of Maxentius, laureate, left"
14598,"Head of Maxentius, laureate, right"
14599,"Head of Maxentius, left"
14600,"Head of Maxentius, radiate, right"
14601,"Head of Maxentius, right"
14602,"Head of Maximian, laureate, left"
14603,"Head of Maximian, laureate, left, H under bust"
14604,"Head of Maximian, laureate, right"
14605,"Head of Maximian, laureate, right or left"
14606,"Head of Maximian, laureate, right, H under bust"
14607,"Head of Maximian, laureate, right, sometimes seen from behind"
14608,"Head of Maximian, laureate, right; ties curved, parallel"
14609,"Head of Maximian, laureate, right; ties divergent"
14610,"Head of Maximian, laureate, right; ties divergent, with pointed truncation"
14611,"Head of Maximian, radiate, right"
14612,"Head of Maximian, right"
14613,"Head of Maximian, veiled, laureate, right"
14614,"Head of Maximian, veiled, right"
14615,"Head of Maximinus Daia, laureate, left"
14616,"Head of Maximinus Daia, laureate, right"
14617,"Head of Maximinus Daia, laureate, right; ties divergent, with pointed truncation"
14618,"Head of Maximinus Daia, laureate, right; ties parallel, with pointed truncation"
14619,"Head of Maximinus Daia, laureate, right; ties parallel, with rounded truncation"
14620,"Head of Maximinus I, laureate, left"
14621,"Head of Medusa, facing"
14622,"Head of Medusa, facing, on aegis"
14623,"Head of Medusa, facing, with wings and serpents in hair"
14624,"Head of Medusa, on aegis, facing"
14625,"Head of Medusa, winged, facing"
14626,"Head of Minerva, helmeted, left"
14627,"Head of Minerva, helmeted, right"
14628,"Head of Minerva, right"
14629,"Head of Mutinus Titinus, bearded, right?"
14630,"Head of Neptune, laureate, right; trident on shoulder"
14631,"Head of Nero Claudius Drusus, bare, left"
14632,"Head of Nero Claudius Drusus, laureate, left"
14633,"Head of Nero Claudius Drusus, laureate, right"
14634,"Head of Nero, bare, left"
14635,"Head of Nero, bare, left; small globe at point of neck"
14636,"Head of Nero, bare, right"
14637,"Head of Nero, bare, right; small globe at point of neck"
14638,"Head of Nero, crowned with bay, draped, right"
14639,"Head of Nero, laureate, left"
14640,"Head of Nero, laureate, left; small globe at point of neck"
14641,"Head of Nero, laureate, right"
14642,"Head of Nero, laureate, right with aegis"
14643,"Head of Nero, laureate, right with aegis; small globe at point of neck"
14644,"Head of Nero, laureate, right, with aegis on neck"
14645,"Head of Nero, laureate, right, with beard"
14646,"Head of Nero, laureate, right; small globe at point of neck"
14647,"Head of Nero, radiate, left"
14648,"Head of Nero, radiate, right"
14649,"Head of Nero, radiate, right; small globe at point of neck"
14650,"Head of Nerva, laureate, right"
14651,"Head of Nerva, radiate, right"
14652,"Head of Nigrinian, radiate, right"
14653,"Head of Nigrinian, right"
14654,"Head of Numa Pompilius, bearded, diademed, right, large; dotted border"
14655,"Head of Numa Pompilius, bearded, diademed, right, large; double linear border"
14656,"Head of Numa Pompilius, bearded, diademed, right; coarse linear border"
14657,"Head of Numa Pompilius, bearded, diademed, right; linear border"
14658,"Head of Numerian, radiate, right"
14659,"Head of Numerian, sometimes radiate, right"
14660,"Head of Octavian, bare, left"
14661,"Head of Octavian, bare, left; behind, lituus"
14662,"Head of Octavian, bare, right"
14663,"Head of Octavian, bare, right; behind, lituus"
14664,"Head of Otho, bare, left"
14665,"Head of Otho, bare, right"
14666,"Head of Pertinax, bare, right"
14667,"Head of Pertinax, laureate, right"
14668,"Head of Pertinax, radiate, right"
14669,"Head of Pescennius Niger, laureate, right"
14670,"Head of Philip the Arab, in winged helmet, right"
14671,"Head of Pietas, right; stork front"
14672,Head of Pompey flanked by lituus and praefericulum
14673,"Head of Postumus, facing front"
14674,"Head of Postumus, laureate, facing head of Hercules, laureate"
14675,"Head of Postumus, laureate, radiate, right"
14676,"Head of Postumus, laureate, right"
14677,"Head of Postumus, laureate, right or left"
14678,"Head of Postumus, laureate, sometimes radiate, right"
14679,"Head of Postumus, radiate, right"
14680,"Head of Postumus, right"
14681,"Head of Quintillus, laureate, right"
14682,"Head of Quintillus, radiate, right"
14683,"Head of Quintus Julius Gallienus, laureate, right"
14684,"Head of Roma, helmeted, right"
14685,"Head of Roma, helmeted, right; X behind"
14686,"Head of Roma, helmeted, right; star front"
14687,"Head of Roma, wearing crested helmet, right"
14688,"Head of Romulus, laureate, wearing consular robes, right"
14689,"Head of Romulus, right"
14690,"Head of Saloninus, radiate, right"
14691,"Head of Septimius Severus, bare, right"
14692,"Head of Septimius Severus, bare-headed, right"
14693,"Head of Septimius Severus, laureate, left"
14694,"Head of Septimius Severus, laureate, right"
14695,"Head of Septimius Severus, laureate, right and bust of Julia Domna, diademed, draped, left"
14696,"Head of Septimius Severus, radiate, right"
14697,"Head of Severus Alexander, larueate, right"
14698,"Head of Severus Alexander, laureate, right"
14699,"Head of Severus Alexander, laureate, with aegis, right"
14700,"Head of Severus Alexander, radiate, right"
14701,"Head of Severus Alexander, radiate, with aegis?, right"
14702,"Head of Severus II, laureate, right"
14703,"Head of Sol, facing"
14704,"Head of Sol, radiate, right"
14705,"Head of Sol, right"
14706,"Head of Sponsianus, radiate, right"
14707,"Head of Tetricus I, laureate, left"
14708,"Head of Tetricus I, laureate, right"
14709,"Head of Tetricus I, radiate, right"
14710,"Head of Tetricus II, radiate, right"
14711,"Head of Tiber, bearded, wearing crown of reeds, left"
14712,"Head of Tiber, bearded, wearing crown of reeds, right"
14713,"Head of Tiberius, bare, left"
14714,"Head of Tiberius, bare, left, within laurel wreath"
14715,"Head of Tiberius, bare, right"
14716,"Head of Tiberius, bare, within oak-wreath"
14717,"Head of Tiberius, laureate, left"
14718,"Head of Tiberius, laureate, right"
14719,"Head of Titus, bare, right"
14720,"Head of Titus, bare, right facing head of Domitian, bare, left"
14721,"Head of Titus, bare, right, facing head of Domitian, bare, left"
14722,"Head of Titus, bearded, laureate, right"
14723,"Head of Titus, laureate, draped, right"
14724,"Head of Titus, laureate, left"
14725,"Head of Titus, laureate, left; globe at point of neck"
14726,"Head of Titus, laureate, right"
14727,"Head of Titus, laureate, right with aegis"
14728,"Head of Titus, laureate, right; globe at point of neck"
14729,"Head of Titus, radiate, left"
14730,"Head of Titus, radiate, right"
14731,"Head of Titus, radiate, right; globe at point of neck"
14732,"Head of Trajan, laureate, draped on left shoulder, right"
14733,"Head of Trajan, laureate, draped, right"
14734,"Head of Trajan, laureate, left"
14735,"Head of Trajan, laureate, right"
14736,"Head of Trajan, laureate, right; globe at point of neck"
14737,"Head of Trajan, radiate, Right"
14738,"Head of Trajan, radiate, right"
14739,"Head of Valerian II, bare, right"
14740,"Head of Valerian II, radiate, right"
14741,"Head of Valerian, laureate, right"
14742,"Head of Valerius Valens, laureate, right"
14743,"Head of Venus, diademed, right"
14744,"Head of Venus, wearing stephane, right"
14745,"Head of Vespasian, bare, left"
14746,"Head of Vespasian, bare, right"
14747,"Head of Vespasian, laureate and radiate, right"
14748,"Head of Vespasian, laureate, left"
14749,"Head of Vespasian, laureate, left; globe at point of neck"
14750,"Head of Vespasian, laureate, right"
14751,"Head of Vespasian, laureate, right with aegis"
14752,"Head of Vespasian, laureate, right; globe at point of neck"
14753,"Head of Vespasian, radiate, left"
14754,"Head of Vespasian, radiate, left; globe at point of neck"
14755,"Head of Vespasian, radiate, right"
14756,"Head of Vespasian, radiate, right; globe at point of neck"
14757,"Head of Vesta, veiled, draped, right"
14758,"Head of Vesta, veiled, right; flanked by wreath and simpulum"
14759,"Head of Victorinus, laureate, left"
14760,"Head of Victorinus, laureate, right"
14761,"Head of Victorinus, radiate, bearded, right"
14762,"Head of Victorinus, radiate, right"
14763,"Head of Vitellius, bare, right"
14764,"Head of Vitellius, laureate, left"
14765,"Head of Vitellius, laureate, left; globe at point of neck"
14766,"Head of Vitellius, laureate, left; globe at point of neck; palm in front"
14767,"Head of Vitellius, laureate, right"
14768,"Head of Vitellius, laureate, right; globe at point of neck"
14769,"Head of Vitellius, laureate, right; globe at point of neck; palm in front"
14770,"Head of Young Nero, bare, draped, left"
14771,"Head of Young male, helmeted, right"
14772,"Head of young Commodus, bare, right"
14773,"Head or Bust of Gallienus, radiate, left, sometimes seen from behind, sometimes with spear and shield or sceptre"
14774,"Head right, laureate, bust draped and cuirassed."
14775,"Head right, laureate. (Variants: Head right, laureate with slight drapery over left shoulder.)"
14776,"Head, diademed, right, perhaps Sulla"
14777,"Head, in lion-skin, right"
14778,"Head, laureate, traces of drapery on far shoulder, right"
14779,Heads of Agrippa (left) and Augustus (right) back to back Agrippa wearing combined rostral crown and laurel wreath and Augustus is laureate
14780,"Heads of Agrippa (left) and Augustus (right) back to back, Agrippa wearing combined rostral crown and laurel wreath and Augustus is bare-headed"
14781,"Heads of Agrippa (left) and Augustus (right) back to back, Agrippa wearing combined rostral crown and laurel wreath and Augustus wearing oak-wreath"
14782,"Heads of Caracalla, laureate, and of Geta, bare, facing one another"
14783,Heads of Faustina and Commodus facing each other
14784,Heifer or bull standing right
14785,"Heifer slowly walking, left, head lowered"
14786,"Heifer slowly walking, right, head lowered"
14787,Heifer standing left
14788,Heifer standing right
14789,"Helena, draped, standing left, offering apple to child with right hand and holding another child in left arm"
14790,"Helena, draped, standing left, raising robe with right hand and lowering branch with left hand"
14791,Helmet
14792,"Helmet and aegis on tree trunk, against which a shield leans"
14793,"Helmet and parazonium on cippus; at base, spear and pile of armor"
14794,Helmet with stag horns between dagger and bipennis
14795,"Helmet, spear, and shield"
14796,Helmeted head of Gallienus as Mars
14797,"Helmeted soldier to l., shield on l. arm, spearing falling horse man; shield on ground at r. Horse man is bareheaded, turns to face soldier, and extends l. arm; M in left field"
14798,"Helmeted soldier to l., shield on l.arm, spearing falling horse man; shield on ground at r. Horse man is bareheaded, turns to face soldier, and extends l.arm."
14799,"Helmeted soldier to left, shield on left arm, spearing falling horse man; shield on ground at right; horse man is bareheaded, turns to face soldier, and extends left arm"
14800,"Helmeted soldier to left, shield on left arm, spearing falling horse man; shield on ground at right; horse man is bareheaded, turns to face soldier, and extends left arm
"
14801,"Helmeted soldier to left, shield on left arm, spearing falling horse man; shield on ground at right; horse man is bareheaded, turns to face soldier, and extends left arm; M in left field"
14802,"Herald advancing left, holding shield and wand"
14803,"Herald, holding shield and wand, standing left of column inscribed COS XIIII LVD SAEC FEC; incense burner right"
14804,"Herald, holding shield and wand, standing left of column inscribed LVD SAEC FEC; incense burner right"
14805,"Herald, standing, left, holding caduceus in right hand, and shield with star in left"
14806,"Hercules advancing right, holding club and dragging Cerberus out from cave"
14807,"Hercules seated facing on pile of armor, holding club and distaff"
14808,"Hercules seated facing on pile of arms, holding club and trophy"
14809,"Hercules seated facing on pile of arms, resting on club and holding distaff"
14810,"Hercules seated left on rock spread with lion skin, resting club on knee; to right, body of boar"
14811,Hercules standing
14812,"Hercules standing facing in distyle temple, head right, resting on club and holding apples (?); below temple, river god (Baetis?) reclining left"
14813,"Hercules standing facing in tetrastyle temple, head right, resting on club and holding apples (?); flanking steps, river god, bearded, reclining facing or left, and prow, right"
14814,"Hercules standing front in dustyle temple, head right, resting on club and holding apples (?); flanking him in the temple, two female figures (Hesperides?);  flanking steps, prow left, and river god, bearded, right"
14815,"Hercules standing front in dustyle temple, head right, resting on club and holding apples (?); flanking him in the temple, two female figures (Hesperides?); below temple, river god (Baetis?) reclining right; sometimes behind left, prow"
14816,"Hercules standing right, holding club, lion skin, and apple; to right, snake entwined tree and three Hesperides"
14817,"Hercules standing right, resting on club and holding apples; at feet to left, prow; to right, river god reclining left"
14818,"Hercules standing right, resting on club and holing uprooted tree"
14819,Hercules strangling Antaeus
14820,"Hercules, advancing right, leading Cerberus in chains with right hand and holding club and lion's skin in left hand"
14821,"Hercules, advancing right, raising club in right hand and carrying Erymanthian boar on left shoulder"
14822,"Hercules, clad in lion-skin, standing right, leaning on club and holding globe in left hand"
14823,"Hercules, holding cup, seated left at table, between Pinarius and Potitus; two slaves serving; to each side cup; behind, vases; in background, large vase set on altar"
14824,"Hercules, in lion-skin, holding branch in right hand and club in left hand"
14825,"Hercules, left, fighting Hydra"
14826,"Hercules, lion's skin draped across shoulder, standing left, placing right hand on club and left hand on hip"
14827,"Hercules, lion's skin draped over left arm, standing right, placing right hand on club and holding three apples or globe in left hand"
14828,"Hercules, lion's skin draped over left shoulder, standing left, holding branch in right hand and club in left hand"
14829,"Hercules, lion's skin draped over shoulder, standing left, fighting hydra"
14830,"Hercules, naked except for lion-skin draped over left arm, standing left, holding branch in right hand and club in left hand"
14831,"Hercules, naked except for lion-skin on left arm, standing right, leaning on club in right hand and holding bow in left hand"
14832,"Hercules, naked, lion-skin draped over left arm, standing right, holding club set on ground in right hand and bow in left hand"
14833,"Hercules, naked, on left, standing right, holding club set on ground in right hand and lion-skin over left arm, and Bacchus, wreathed, naked, on right, standing left, emptying oenochoe in right hand over panther, seated left, head right with open mouth, and holding garlanded thyrsus in left hand"
14834,"Hercules, naked, seated left on cuirass, resting club on shields and distaff"
14835,"Hercules, naked, seated right on cuirass, resting club on shields and distaff"
14836,"Hercules, naked, seated right on cuirass, resting club on shields and holding Victory"
14837,"Hercules, naked, standing front on low base, head right, holding club in right hand and lion-skin over left arm"
14838,"Hercules, naked, standing front on low base, holding club downwards in right hand and lion-skin over left arm"
14839,"Hercules, naked, standing front, leaning on club and lion's skin"
14840,"Hercules, naked, standing left, holding club and lion's skin; altar front"
14841,"Hercules, naked, standing left, holding club and sacrificing over altar"
14842,"Hercules, naked, standing left, holding club in right hand and lion skin over left arm, and Bacchus, naked, standing left, holding cup in right hand and thyrsus in left hand; at feet of Bacchus, panther"
14843,"Hercules, naked, standing right, lion-skin on left arm, leaning on club and holding bow and arrow"
14844,"Hercules, nude except for cloak draped over left arm, standing right, holding club in right hand and apple in left hand"
14845,"Hercules, nude except for lion-skin draped over left arm, advancing right, holding raised club in right hand and bow in left hand"
14846,"Hercules, nude, lion's skin draped over left shoulder, standing front, head left, leaning on club with right hand and holding bow in left hand"
14847,"Hercules, nude, lion-skin draped over left arm, standing right, resting right hand on club and holding bow in left hand"
14848,"Hercules, nude, standing front, head right, leaning on club with right hand and holding apples in left hand; over outstretched left arm, lion's skin"
14849,"Hercules, nude, standing front, head right, right hand set on hip, and resting left arm on club wraped in lion-skin and set on rock"
14850,"Hercules, nude, standing front, holding patera in right hand and club in left hand"
14851,"Hercules, nude, standing left, leaning on club with right hand and holding apple in left hand"
14852,"Hercules, nude, standing left, leaning on club, holding bow in right hand and lion-skin in left hand"
14853,"Hercules, nude, standing left, sacrificing with patera in right hand over altar and holding cornucopiae in left hand; at left, tree on which hangs lion-skin"
14854,"Hercules, nude, standing right, resting right hand on hip and resting left hand on club set on rock; beside club, lion-skin"
14855,"Hercules, nude, wearing lion skin draped over left arm, standing right, leanding on club and holding bow"
14856,"Hercules, nude, wearing lion skin draped over left arm, standing right, leanding on club and holding bow in left hand"
14857,"Hercules, nude, wearing lion skin draped over left arm, standing right, resting hand on hip and leanding on club"
14858,"Hercules, nude, wearing lion skin draped over left arm, standing right, resting right hand on trophy and holdind club in left hand"
14859,"Hercules, nude, wearing lion-skin on head which falls over left arm, standing front, head right, holding laurel-branch in right hand and club in left hand"
14860,"Hercules, overcoming the horses of Diomedes"
14861,"Hercules, right, capturing stag"
14862,"Hercules, right, kneeling on stag with left knee and holding its antlers"
14863,"Hercules, running right, conquering Cretan bull"
14864,"Hercules, seated front on chair, with lion's skin on lap; to right, bow"
14865,"Hercules, seated front, holding lion's skin; beside chair, bow"
14866,"Hercules, seated front, on cuirass and shields, holding club and arrows"
14867,"Hercules, standing front or right, lion's skin draped over arm, leaning on club with right hand and holding apple in left hand"
14868,"Hercules, standing front or right, lion's skin draped over arm, leaning on club with right hand and holding three apples in left hand"
14869,"Hercules, standing front, facing left, holding club in right hand and apple or globe in right hand, lion-skin draped over left arm"
14870,"Hercules, standing front, head left, holding branch in right hand and club and lion's skin in left hand"
14871,"Hercules, standing front, head left, holding branch in right hand and club and lion's skin in left hand; in field left, crescent"
14872,"Hercules, standing front, head left, holding club in right hand and bow in left hand; at foot to left, capricorn running toward him"
14873,"Hercules, standing front, head left, holding club in right hand and lion's skin in left hand; at foot to left, capricorn running toward him"
14874,"Hercules, standing front, head left, holding club in right hand and trophy in left hand"
14875,"Hercules, standing front, head left, holding olive branch with right hand and holding club and lion's skin in left hand"
14876,"Hercules, standing front, head left, holding olive-branch in right hand and club in left hand"
14877,"Hercules, standing front, head left, holding up branch with right hand and holding club and lion's skin in left hand"
14878,"Hercules, standing front, head left, leaning on club with right hand  holding bow in left hand; over left shoulder, lion's skin"
14879,"Hercules, standing front, head left, leaning on club with right hand  holding bow in left hand; over left shoulder, lion's skin; behind right shoulder, quiver"
14880,"Hercules, standing front, head left, leaning on club with right hand and holding apples and lion's skin in left hand"
14881,"Hercules, standing front, head left, leaning on club with right hand and holding apples in left hand; hanging from left elbow, lion's skin"
14882,"Hercules, standing front, head left, leaning on club with right hand and holding bow and lion's skin in left hand"
14883,"Hercules, standing front, head left, leaning on club with right hand and holding bow in left hand; over left arm, lion's skin"
14884,"Hercules, standing front, head left, leaning on club with right hand and holding out three apples and lion's skin in left hand"
14885,"Hercules, standing front, head left, leaning on club with right hand and holding three apples and lion's skin close of body in left hand"
14886,"Hercules, standing front, head left, leaning on club with right hand and holding up apples and lion's skin with left hand"
14887,"Hercules, standing front, head left, leaning on lion's skin on club with left hand"
14888,"Hercules, standing front, head left, or walking left, holding club in right hand and trophy and lion's skin in left hand"
14889,"Hercules, standing front, head right, leaning on club with right hand and holding apples and lion's skin in left hand"
14890,"Hercules, standing front, head right, leaning on club with right hand and holding bow in left hand; over left arm, lion's skin"
14891,"Hercules, standing front, head right, leaning on club with right hand holding up bow and lion's skin with left hand"
14892,"Hercules, standing front, head right, resting right hand on club and holding up four apples and lion's skin in left hand"
14893,"Hercules, standing front, head turned left, holding olive-branch in right hand and club in left hand, lion's skin draped over left arm"
14894,"Hercules, standing front, holding bow and lion's skin, killing two vultures of Stymphalus"
14895,"Hercules, standing front, leaning on club and holding apple"
14896,"Hercules, standing left by tree in the garden of Hesperides; surrounding the tree, three nymphs"
14897,"Hercules, standing left in temple"
14898,"Hercules, standing left in temple with four columns, leaning on club with right hand and holding lion's skin in left hand"
14899,"Hercules, standing left in temple, holding club in right hand"
14900,"Hercules, standing left in temple; sometimes atop temple, crow"
14901,"Hercules, standing left, clubbing Hydra with right hand; Hydra twisted around his right leg"
14902,"Hercules, standing left, fighting Hydra with club in right hand"
14903,"Hercules, standing left, fighting lion; to right, club"
14904,"Hercules, standing left, holding Victory in right hand and club and lion's skin in left hand"
14905,"Hercules, standing left, holding Victory in right hand and lion's skin in left hand"
14906,"Hercules, standing left, holding Victory on globe in right hand and club with lion's skin in left hand"
14907,"Hercules, standing left, holding apples and lion's skin in right hand and leaning on club with left hand"
14908,"Hercules, standing left, holding branch in right hand and club and lion-skin in left hand"
14909,"Hercules, standing left, holding club"
14910,"Hercules, standing left, holding club in right hand"
14911,"Hercules, standing left, holding club in right hand and apple in left hand"
14912,"Hercules, standing left, holding club in right hand and lion's skin and bow in left hand"
14913,"Hercules, standing left, holding club in right hand and lion's skin in left hand"
14914,"Hercules, standing left, holding girdle in right hand and club and lion's skin in left hand, treading down Amazon"
14915,"Hercules, standing left, holding laurel-branch in right hand and club in left hand, lion-skin draped over arm"
14916,"Hercules, standing left, holding olive-branch in right hand and club and lion-skin in left hand"
14917,"Hercules, standing left, holding olive-branch in right hand and club sometimes with lion's skin in left hand"
14918,"Hercules, standing left, holding olive-branch in right hand and club with lion's skin in left hand"
14919,"Hercules, standing left, holding olive-branch in right hand and holding club and lion-skin in left hand"
14920,"Hercules, standing left, holding olive-branch in right hand club and lion's skin in left hand"
14921,"Hercules, standing left, holding trophy in right hand and lion-skin and club in left hand"
14922,"Hercules, standing left, leaning on club with right hand and holding Victory in left hand"
14923,"Hercules, standing left, leaning on club with right hand and holding lion's skin in left hand"
14924,"Hercules, standing left, raising right hand and holding lion's skin and club in left hand"
14925,"Hercules, standing left, strangling Nemean lion"
14926,"Hercules, standing left, strangling Nemean lion; sometimes at foot, club or globe"
14927,"Hercules, standing left, strangling lion; behind, club"
14928,"Hercules, standing left, strangling lion; leaning against left leg, club"
14929,"Hercules, standing left, wrapped in lion-skin, holding club, bow and arrow"
14930,"Hercules, standing right (or standing front, head right), leaning on club with right hand and holding apple and lion's skin in left hand"
14931,"Hercules, standing right (or standing front, head right), leaning on club with right hand and holding bow and lion's skin in left hand"
14932,"Hercules, standing right under apple-tree in the garden of Hesperides, holding club in right hand and apple in left hand; around apple tree, serpent entwined"
14933,"Hercules, standing right, capturing stag"
14934,"Hercules, standing right, carrying Erymanthian boar on shoulders"
14935,"Hercules, standing right, carrying wild boar"
14936,"Hercules, standing right, drawing bow"
14937,"Hercules, standing right, head left, leaning on club with right hand and holding bow and lion's skin in left hand"
14938,"Hercules, standing right, holding club in right hand and bow and lion's skin in left hand"
14939,"Hercules, standing right, holding club in right hand and bow and lion's skin in right hand"
14940,"Hercules, standing right, holding club in right hand and bow and lion-skin in left hand"
14941,"Hercules, standing right, holding club in right hand and bow in left hand"
14942,"Hercules, standing right, holding club in right hand and holding lion's skin and bow or four apples in left hand"
14943,"Hercules, standing right, holding club in right hand and lion's skin and bow in left hand"
14944,"Hercules, standing right, holding club in right hand and lion-skin in left hand"
14945,"Hercules, standing right, holding club in right hand and olive-branch in left hand"
14946,"Hercules, standing right, holding club on rock and lion-skin"
14947,"Hercules, standing right, holding club on rock in right hand and lion-skin in left hand"
14948,"Hercules, standing right, holding club, bow, and lion-skin"
14949,"Hercules, standing right, holding right hand behind back and leaning on lion's skin on club with left hand"
14950,"Hercules, standing right, holding right hand behind back, leaning on club covered by lion's skin with left hand"
14951,"Hercules, standing right, in combat with three soldiers representing Geryon"
14952,"Hercules, standing right, leaning in club with right hand and pouring libation with left hand"
14953,"Hercules, standing right, leaning on club in right hand and lion's skin and bow in left hand"
14954,"Hercules, standing right, leaning on club on rock and holding bow and lions skin in left hand"
14955,"Hercules, standing right, leaning on club on rock with right hand and holding lion's skin in left hand"
14956,"Hercules, standing right, leaning on club on rock, being crowned by Victory on globe"
14957,"Hercules, standing right, leaning on club with lion's skin"
14958,"Hercules, standing right, leaning on club with lion's skin on rock"
14959,"Hercules, standing right, leaning on club with lion-skin"
14960,"Hercules, standing right, leaning on club with right hand"
14961,"Hercules, standing right, leaning on club with right hand and holding apples and lion's skin in left hand"
14962,"Hercules, standing right, leaning on club with right hand and holding bow and lion's skin in left hand"
14963,"Hercules, standing right, leaning on club with right hand and holding up apple(s) and lion's skin in left hand"
14964,"Hercules, standing right, leaning on club with right hand and holding up three apples and lion's skin in left hand"
14965,"Hercules, standing right, leaning on club, sometimes with lion's skin, on rock"
14966,"Hercules, standing right, leaning on cub with right hand and holding Victory on globe and lion's skin in left hand"
14967,"Hercules, standing right, leaning on cub with right hand and holding three apples and lion's skin in left hand"
14968,"Hercules, standing right, leaning on lion's skin on club"
14969,"Hercules, standing right, placing right hand on club and holding wreath in left hand"
14970,"Hercules, standing right, resting on club, foot on captive, receiving globe from Sol, standing left, holding whip"
